intent_id,intent_title,cluster,region_id,region_name,business_priority,relative_demand_band,relative_rank,phrase_count,max_count,strongest_phrase,dominant_query_type,next_action,commercial_phrases,informational_phrases,unmapped_phrases,top_phrases
"MD03","DeepSeek","модели","225","Россия","P2","high","1","397","2406813","дипсик","informational","guide","10","387","0","дипсик:2406813:informational:guide|дипсик нейросеть:202348:informational:guide|deepseek:171842:informational:guide|дипсик на русском:85905:informational:guide|дипсик нейросеть на русском:72926:informational:guide|чат дипсик:33850:informational:guide|дипсик скачать:29232:informational:guide|deepseek нейросеть:25784:informational:guide"
"MD09","Бесплатные модели","модели","225","Россия","P2","high","2","109","959873","нейросеть бесплатно","informational","guide","0","109","0","нейросеть бесплатно:959873:informational:guide|нейросеть бесплатно на русском:134167:informational:guide|бесплатная нейросеть без:93069:informational:guide|бесплатная нейросеть регистрация бесплатная:86749:informational:guide|нейросеть бесплатно без регистрации:86528:informational:guide|ии нейросеть бесплатно:78206:informational:guide|сгенерировать нейросетью бесплатно:50554:informational:guide|создать песню нейросеть бесплатно:50479:informational:guide"
"MD04","Gemini","модели","225","Россия","P2","high","3","199","759173","gemini","informational","guide","5","194","0","gemini:759173:informational:guide|gemini google:59050:informational:guide|gemini ai:50821:informational:guide|скачать gemini:42071:informational:guide|gemini в россии:25479:informational:guide|gemini flash:23576:informational:guide|gemini pro:18424:informational:guide|gemini omni:18347:informational:guide"
"MD05","Qwen и китайские модели","модели","225","Россия","P3","high","4","357","345732","qwen","informational","guide","5","352","0","qwen:345732:informational:guide|qwen studio:54899:informational:guide|qwen 3.8:32681:informational:guide|qwen нейросеть:29501:informational:guide|qwen сайт:20187:informational:guide|qwen нейросеть официальный:19866:informational:guide|qwen официальный сайт:19620:informational:guide|qwen нейросеть сайт:17659:informational:guide"
"TL04","OpenAI Codex","инструменты","225","Россия","P2","high","5","191","113914","codex","informational","guide","6","185","0","codex:113914:informational:guide|скачать codex:9478:informational:guide|codex chatgpt:6694:informational:guide|codex gpt:6347:informational:guide|codex ai:6261:informational:guide|codex купить:2670:commercial:landing|codex cli:2503:informational:guide|codex code:2472:informational:guide"
"MD06","GLM / Zhipu","модели","225","Россия","P3","high","6","201","83949","glm","informational","guide","6","195","0","glm:83949:informational:guide|huter glm:23277:informational:guide|газонокосилки glm:22342:informational:guide|газонокосилка huter glm:14445:informational:guide|glm 5.3:12796:informational:guide|газонокосилка бензиновая glm:8116:informational:guide|glm 5.0:7201:informational:guide|glm 5:5608:informational:guide"
"IN04","Генерация изображений","инфраструктура","225","Россия","P2","high","7","178","73687","нейросеть для генерации изображений","informational","guide","3","175","0","нейросеть для генерации изображений:73687:informational:guide|нейросеть для генерации изображений бесплатно:21027:informational:guide|нейросеть для генерации изображений шедеврум:11850:informational:guide|сгенерировать картинку нейросеть бесплатно:9542:informational:guide|нейросеть для генерации изображений кандинский:6226:informational:guide|генерация картинок нейросетью бесплатно:4912:informational:guide|сгенерировать картинку из фото нейросеть бесплатно:4596:informational:guide|сгенерировать картинку нейросеть яндекс бесплатно:4560:informational:guide"
"TL01","Claude Code","инструменты","225","Россия","P1","high","8","201","60518","claude code","informational","guide","13","188","0","claude code:60518:informational:guide|claude codex:2570:informational:guide|claude code скачать:2245:informational:guide|claude code подписка:1828:commercial:landing|claude code в россии:1564:informational:guide|claude code api:1513:informational:guide|claude code ai:1280:informational:guide|claude code windows:1231:informational:guide"
"MD07","GigaChat","модели","225","Россия","P3","medium","9","196","47230","gigachat","informational","guide","6","190","0","gigachat:47230:informational:guide|запросы gigachat:7109:informational:guide|gigachat алиса:5155:informational:guide|gigachat как получить:4845:informational:guide|gigachat от сбера:4699:informational:guide|сайте gigachat:4006:informational:guide|gigachat от сбера официальный:3957:informational:guide|gigachat официальный сайт:3899:informational:guide"
"IN02","API нейросетей и ключи","инфраструктура","225","Россия","P2","medium","10","219","33529","openrouter","informational","guide","20","199","0","openrouter:33529:informational:guide|openrouter ai:11236:informational:guide|api нейросетей:2398:informational:guide|openrouter api:1911:informational:guide|openrouter key:1383:informational:guide|gemini api ключ:1320:commercial:landing|openrouter api key:1047:informational:guide|https openrouter:892:informational:guide"
"MD08","Локальные модели и Ollama","модели","225","Россия","P2","medium","11","450","32951","ollama","informational","guide","8","442","0","ollama:32951:informational:guide|llama:30769:informational:guide|llama cpp:8010:informational:guide|локальная нейросеть:6414:informational:guide|se llama:5304:informational:guide|ollama модели:2649:informational:guide|ollama скачать:2441:informational:guide|como llama:1718:informational:guide"
"IN03","Автоматизация и боты","инфраструктура","225","Россия","P2","medium","12","204","27129","n8n","informational","guide","5","199","0","n8n:27129:informational:guide|бот нейросеть:24115:informational:guide|n8n сайт:1435:informational:guide|n8n официальный:1299:informational:guide|n8n официальный сайт:1277:informational:guide|n8n ai:619:informational:guide|n8n скачать:526:informational:guide|n8n ии:454:informational:guide"
"VC01","Вайб-кодинг: что это","вайб-кодинг","225","Россия","P1","medium","13","168","13426","вайб кодинг","informational","guide","0","168","0","вайб кодинг:13426:informational:guide|vibe coding:2523:informational:guide|вайб кодинг курсы:641:informational:guide|что такое вайб кодинг простыми словами:332:informational:guide|вайб кодинг сайт:291:informational:guide|бесплатный вайб кодинг:289:informational:guide|вайб кодинг обучение:276:informational:guide|вайб кодинг 1с:191:informational:guide"
"TL05","Cursor","инструменты","225","Россия","P2","medium","14","190","13298","cursor ai","informational","guide","19","171","0","cursor ai:13298:informational:guide|скачать cursor ai:561:informational:guide|cursor ai подписка:378:commercial:landing|cursor ai купить:359:commercial:landing|cursor ai в россии:339:informational:guide|cursor ai pro:329:informational:guide|cursor ai бесплатно:260:informational:guide|cursor ai аналоги:224:informational:guide"
"AG01","Что такое AI-агент","агенты","225","Россия","P1","medium","15","351","10110","ai агент","informational","guide","5","346","0","ai агент:10110:informational:guide|создание ии агентов:3298:informational:guide|как создать ии агента:2841:informational:guide|бесплатные ии агенты:2622:informational:guide|что такое ии агент:2485:informational:guide|лучшие ии агенты:1424:informational:guide|ии агенты для бизнеса:1333:informational:guide|разработка ии агентов:1329:informational:guide"
"MD01","Как выбрать модель для кода","модели","225","Россия","P1","medium","16","83","6260","фото лучшая нейросеть бесплатно онлайн","informational","guide","0","83","0","фото лучшая нейросеть бесплатно онлайн:6260:informational:guide|нейросеть для кода:3672:informational:guide|нейросеть для программирования:2426:informational:guide|лучшая нейросеть для программирования:655:informational:guide|нейросеть для кода бесплатно:641:informational:guide|лучшая нейросеть для кода:636:informational:guide|бесплатные нейросети для программирования:377:informational:guide|какие нейросети для кода:350:informational:guide"
"VC03","Промпты и спецификации","вайб-кодинг","225","Россия","P2","medium","17","55","3624","промпт инжиниринг","informational","guide","0","55","0","промпт инжиниринг:3624:informational:guide|промпт инжиниринг работа:345:informational:guide|ии промпт инжиниринг:341:informational:guide|интеллект промпт инжиниринг:253:informational:guide|искусственный интеллект промпт инжиниринг:253:informational:guide|промпт инжиниринг обучение:225:informational:guide|хакатон по промпт инжинирингу:214:informational:guide|промпт инжиниринг ответы:171:informational:guide"
"SC01","Безопасность агентов и серверов","безопасность","225","Россия","P2","medium","18","1","3159","безопасность нейросети","informational","guide","0","1","0","безопасность нейросети:3159:informational:guide"
"AG03","Контекст агента","агенты","225","Россия","P1","medium","19","26","2605","контекстное окно","informational","guide","0","26","0","контекстное окно:2605:informational:guide|размер контекстного окна:274:informational:guide|что такое контекстное окно модели:128:informational:guide|контекстное окно gpt:84:informational:guide|контекстное окно нейросети это:72:informational:guide|что описывает контекстное окно модели:71:informational:guide|контекстное окно claude:65:informational:guide|что такое контекстное окно языковой модели:61:informational:guide"
"AG05","Мультиагентные системы","агенты","225","Россия","P2","medium","20","26","2545","мультиагентные системы","informational","guide","0","26","0","мультиагентные системы:2545:informational:guide|мультиагентные системы ии:716:informational:guide|создание мультиагентной системы:352:informational:guide|проблемы мультиагентных систем:172:informational:guide|архитектуры мультиагентных систем:138:informational:guide|агент в мультиагентной системе:128:informational:guide|разработка мультиагентных систем:89:informational:guide|мультиагентные системы искусственного интеллекта:69:informational:guide"
"MD02","Сравнения и бенчмарки моделей","модели","225","Россия","P1","low","21","12","1993","сравнение нейросетей","informational","guide","0","12","0","сравнение нейросетей:1993:informational:guide|сравнение нейросетей 2026:172:informational:guide|бенчмарк нейросетей:99:informational:guide|сравнение нейросетей промптов:64:informational:guide|сравнение моделей нейросетей:57:informational:guide|сравнение нейросетей таблица:46:informational:guide|сравнение нейросети алисы с другими нейросетями:43:informational:guide|сравнение нейросетей какая лучше:35:informational:guide"
"TL07","Как выбрать кодинг-агента","инструменты","225","Россия","P1","low","22","12","1430","codex vs","informational","guide","0","12","0","codex vs:1430:informational:guide|codex vs code:908:informational:guide|claude vs codex:486:informational:guide|какой ии агент лучше:417:informational:guide|claude code или codex:386:informational:guide|codex vscode:257:informational:guide|сравнение ии агентов:165:informational:guide|claude code или cursor:135:informational:guide"
"TL03","AGENTS.md — файл правил","инструменты","225","Россия","P1","low","23","12","1365","agents md","informational","guide","0","12","0","agents md:1365:informational:guide|файл agents md:97:informational:guide|codex agents md:76:informational:guide|opencode agents md:75:informational:guide|claude agents md:46:informational:guide|примеры agents md:41:informational:guide|agents md example:17:informational:guide|настройка agents md:16:informational:guide"
"TL06","MCP — протокол и серверы","инструменты","225","Россия","P1","low","24","90","1209","mcp сервер что это","informational","guide","0","90","0","mcp сервер что это:1209:informational:guide|codex mcp:620:informational:guide|mcp сервер для 1с:447:informational:guide|n8n mcp:166:informational:guide|как подключить mcp сервер:128:informational:guide|локальный mcp сервер:117:informational:guide|mcp сервер работа:100:informational:guide|вкусвилл mcp сервер:94:informational:guide"
"AG04","Память агента","агенты","225","Россия","P2","low","25","1","860","память агента","informational","guide","0","1","0","память агента:860:informational:guide"
