rank,priority_band,decision,page_kind,title,path,business_priority,planner_score,phrase_count,max_count,strongest_phrase,strongest_region,regions,intent_ids,top_queries,note
"1","now","create","guide","DeepSeek","/blog/deepseek/","P2","143.6","382","2406813","дипсик","Россия","Россия:2406813","MD03","дипсик:2406813|дипсик нейросеть:202348|deepseek:171842|дипсик на русском:85905|дипсик нейросеть на русском:72926|чат дипсик:33850|дипсик скачать:29232|deepseek нейросеть:25784|дипсик бесплатно:25605|дипсик онлайн:19286","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"2","now","expand","guide","Gemini 3.7 Flash: бенчмарк","/blog/gemini-3-7-flash-bench/","P1","141.6","205","759173","gemini","Россия","Россия:759173","AG01|IN02|MD02|MD03|MD04|TL01","gemini:759173|gemini google:59050|gemini ai:50821|скачать gemini:42071|gemini в россии:25479|gemini flash:23576|gemini pro:18424|gemini omni:18347|gemini omni flash:13820|gemini не работает:10922",""
"3","now","create","guide","Бесплатные модели","/blog/besplatnye-modeli/","P2","135.6","106","959873","нейросеть бесплатно","Россия","Россия:959873","MD09","нейросеть бесплатно:959873|нейросеть бесплатно на русском:134167|бесплатная нейросеть без:93069|бесплатная нейросеть регистрация бесплатная:86749|нейросеть бесплатно без регистрации:86528|ии нейросеть бесплатно:78206|сгенерировать нейросетью бесплатно:50554|создать песню нейросеть бесплатно:50479|оживить фото нейросеть бесплатно:45650|оживленное фото нейросеть бесплатно:45650","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"4","now","create","guide","Qwen и китайские модели","/blog/qwen-i-kitayskie-modeli/","P3","122.8","338","345732","qwen","Россия","Россия:345732","MD05","qwen:345732|qwen studio:54899|qwen 3.8:32681|qwen нейросеть:29501|qwen сайт:20187|qwen нейросеть официальный:19866|qwen официальный сайт:19620|qwen нейросеть сайт:17659|qwen нейросеть официальный сайт:17638|qwen ai:16539","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"5","now","expand","guide","Фальшивый GPT-4o на моём VPS — инцидент с Ollama","/blog/falshivye-gpt-4o-na-vps/","P1","122.4","472","32951","ollama","Россия","Россия:32951","AG01|IN02|IN03|MD03|MD05|MD06|MD08|MD09|SC01|TL01","ollama:32951|llama:30769|llama cpp:8010|локальная нейросеть:6414|se llama:5304|безопасность нейросети:3159|ollama модели:2649|ollama скачать:2441|como llama:1718|llama server:1629","Флагман: уникальный инцидент. Усилить чек-листом безопасности и связкой с локальными моделями."
"6","next","create","guide","Что такое вайб-кодинг","/blog/chto-takoe-vayb-koding/","P1","118.6","174","13426","вайб кодинг","Россия","Россия:13426","AG01|MD09|TL01|VC01","вайб кодинг:13426|vibe coding:2523|вайб кодинг курсы:641|что такое вайб кодинг простыми словами:332|вайб кодинг сайт:291|бесплатный вайб кодинг:289|вайб кодинг обучение:276|вайб кодинг 1с:191|вайб кодинг что это такое простыми:173|ии для вайб кодинга:146","Черновик в репозитории — дописать и опубликовать."
"7","next","expand","guide","Генерация обложек нейросетью: размер и качество","/blog/oblozhki-neyrosetyu-razmer-i-kachestvo/","P2","117.3","183","73687","нейросеть для генерации изображений","Россия","Россия:73687","IN04|MD07","нейросеть для генерации изображений:73687|нейросеть для генерации изображений бесплатно:21027|нейросеть для генерации изображений шедеврум:11850|сгенерировать картинку нейросеть бесплатно:9542|нейросеть для генерации изображений кандинский:6226|генерация картинок нейросетью бесплатно:4912|сгенерировать картинку из фото нейросеть бесплатно:4596|сгенерировать картинку нейросеть яндекс бесплатно:4560|нейросеть для генерации изображений по фото:3177|нейросеть для генерации изображений без:2982",""
"8","next","create","guide","OpenAI Codex","/blog/openai-codex/","P2","117.1","185","113914","codex","Россия","Россия:113914","TL04","codex:113914|скачать codex:9478|codex chatgpt:6694|codex gpt:6347|codex ai:6261|codex cli:2503|codex code:2472|openai codex:2276|codex chat:2081|codex лимиты:2052","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"9","next","create","guide","Claude Code","/blog/claude-code/","P1","115.6","183","60518","claude code","Россия","Россия:60518","TL01","claude code:60518|claude codex:2570|claude code скачать:2245|claude code в россии:1564|claude code api:1513|claude code ai:1280|claude code windows:1231|anthropic claude code:1103|claude code бесплатно:1075|https claude code:1035","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"10","next","create","guide","GLM / Zhipu","/blog/glm-zhipu/","P3","110.5","194","83949","glm","Россия","Россия:83949","MD06","glm:83949|huter glm:23277|газонокосилки glm:22342|газонокосилка huter glm:14445|glm 5.3:12796|газонокосилка бензиновая glm:8116|glm 5.0:7201|glm 5:5608|газонокосилка бензиновая huter glm:5565|glm 5.2:5399","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"11","later","create","guide","API нейросетей и ключи","/blog/api-neyrosetey-i-klyuchi/","P2","106.5","198","33529","openrouter","Россия","Россия:33529","IN02","openrouter:33529|openrouter ai:11236|api нейросетей:2398|openrouter api:1911|openrouter key:1383|openrouter api key:1047|https openrouter:892|бесплатные api нейросетей:843|openrouter ai api:835|https openrouter ai:828","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"12","later","create","guide","GigaChat","/blog/gigachat/","P3","105.5","189","47230","gigachat","Россия","Россия:47230","MD07","gigachat:47230|запросы gigachat:7109|gigachat алиса:5155|gigachat как получить:4845|gigachat от сбера:4699|сайте gigachat:4006|gigachat от сбера официальный:3957|gigachat официальный сайт:3899|gigachat от сбера официальный сайт:3852|gigachat работа:2051","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"13","later","create","guide","Автоматизация и боты","/blog/avtomatizaciya-i-boty/","P2","104.7","198","27129","n8n","Россия","Россия:27129","IN03","n8n:27129|бот нейросеть:24115|n8n сайт:1435|n8n официальный:1299|n8n официальный сайт:1277|n8n ai:619|n8n скачать:526|n8n ии:454|n8n агент:450|n8n нейросеть:417","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"14","later","create","guide","Как выбрать модель для кода","/blog/kak-vybrat-model-dlya-koda/","P1","103.9","83","6260","фото лучшая нейросеть бесплатно онлайн","Россия","Россия:6260","MD01","фото лучшая нейросеть бесплатно онлайн:6260|нейросеть для кода:3672|нейросеть для программирования:2426|лучшая нейросеть для программирования:655|нейросеть для кода бесплатно:641|лучшая нейросеть для кода:636|бесплатные нейросети для программирования:377|какие нейросети для кода:350|какая нейросеть для программирования:308|лучшая нейросеть для написания кода:293",""
"15","later","expand","guide","AGENTS.md: файл правил для агентов","/blog/agents-md-pravila-dlya-agentov/","P1","102.7","12","1365","agents md","Россия","Россия:1365","TL03","agents md:1365|файл agents md:97|codex agents md:76|opencode agents md:75|claude agents md:46|примеры agents md:41|agents md example:17|настройка agents md:16|cursor agents md:14|kilo code agents md:10","Сюда же встроить черновик «Файл правил проекта» (каннибализация по аудиту)."
"16","later","create","guide","Что такое AI-агент","/blog/chto-takoe-ai-agent/","P1","100.1","342","10110","ai агент","Россия","Россия:10110","AG01","ai агент:10110|создание ии агентов:3298|как создать ии агента:2841|бесплатные ии агенты:2622|что такое ии агент:2485|лучшие ии агенты:1424|ии агенты для бизнеса:1333|разработка ии агентов:1329|локальный ии агент:1188|как сделать ии агента:1133","Автоматический кандидат: intent есть, но в preset ещё нет явного page target."
"17","later","create","guide","Как выбрать кодинг-агента","/blog/kak-vybrat-koding-agenta/","P1","99.1","12","1430","codex vs","Россия","Россия:1430","TL07","codex vs:1430|codex vs code:908|claude vs codex:486|какой ии агент лучше:417|claude code или codex:386|codex vscode:257|сравнение ии агентов:165|claude code или cursor:135|что лучше claude code или codex:109|какой ai агент лучше:45","Планируемая страница под кластер выбора инструмента."
